File Name,Is Directed,Number of Nodes,Number of Edges,Average Degree,Average In-Degree,Average Clustering Coefficient,Average Path Length (Largest CC),Network Diameter (Largest CC),Modularity (Louvain),Power-law Exponent (Gamma)
step_0.gexf,True,1000,1496,2.992,1.496,0.12213595132469722,6.963203203203204,18,0.8552575145874427,2.937451171875
step_0.gexf,True,1000,1706,3.412,1.706,0.18766429145888835,6.076998998998999,16,0.8058161777651175,2.8515380859374995
